jobTitle,company,location,experience,salary,jobLink,skills
Data Analyst,Global Leader in Precision Dispensing and Mixing Equipment f,Remote,2-7 Yrs,6-12 Lacs PA,https://www.naukri.com/job-listings-data-analyst-ciel-hr-ahmedabad-2-to-7-years-031224018461,"Excel, .NET, SQL, Client Management, Pivot Table, Project Management, VLOOKUP, Database Management"
Data Analyst,Fedex Express Transportation And Supply Chain Serv Ices (i),Hybrid - Mumbai,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-fedex-express-transportation-and-supply-chain-serv-ices-i-mumbai-1-to-3-years-291124003235,"Numerical, Statistical Modeling, Data Visualization, Data Modeling, Analytics, Presentation Skills, Power Bi, SQL"
"Data Analyst, AS",Deutsche Bank,Pune,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-as-deutsche-bank-ag-pune-2-to-6-years-261124922907,"SQL, Visual Basic, DCAM, Data Quality Management, MATLAB, DAMA, Data analysis, Quality management"
Data Analyst,Leading Client,Bengaluru,3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-alp-consulting-limited-bengaluru-3-to-7-years-281124917649,"snowflake, sql queries, microsoft azure, tableau, agile, python, data analysis, gap analysis"
Data Analyst - Hybrid (Pune/Hyd/Bangalore),Jade Global,"Hybrid - Hyderabad, Pune, Bengaluru",6-11 Yrs,14-24 Lacs PA,https://www.naukri.com/job-listings-data-analyst-hybrid-pune-hyd-bangalore-jade-global-hyderabad-pune-bengaluru-6-to-11-years-281124016143,"Data analyst, SQL, Python, Data, Data analysis"
Data Analyst,OPENSPACE SERVICES,Mumbai,0-1 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-openspace-services-mumbai-0-to-1-years-201124510724,"Computer science, SAS, Analytical, Machine learning, Predictive modeling, Data mining, Operations, SQL"
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Greetings from BCforward INDIA TECHNOLOGIES PRIVATE LIMITED.,"Bangalore Rural, Bengaluru",5-10 Yrs,12-20 Lacs PA,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-bangalore-rural-bengaluru-5-to-10-years-281124006614,"well log data, Geomechanics, G&G Ops Specialist, Petrophysics Data Analyst, G&G applications, oil and gas, Application, Data analysis"
Data Analyst,Firstmeridian Global Services,"Hybrid - Noida, Indore, Gurugram",3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-firstmeridian-global-services-noida-indore-gurugram-3-to-8-years-271124016653,"Tableau, Apache Superset, Power Bi, OLAP, QlikView, Apache, Data analysis, Bi"
Data Analyst / Validator,Oakton GTSCI Pvt Ltdd,Bengaluru,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-validator-oakton-gtsci-pvt-ltdd-bengaluru-2-to-6-years-221124506253,"data cleansing, Data analysis, Analytical, Artificial Intelligence, Machine learning, Healthcare, Data quality, Financial services"
Data Analyst Axiscades,Leading Client,Chennai,3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-axiscades-alp-consulting-limited-chennai-3-to-7-years-281124918027,"sql, data modeling, python, google analytics, aws, amazon redshift, bi, data warehousing"
